epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1529.73,1.31447,2.35854,0.00891,0.67424,0.47619,0.54383,0.36244,1.63188,1.68324,0.00972,0.000664694,0.000664694,0.000664694
2,1835.69,1.51479,1.62105,0.01128,0.85225,0.48413,0.57495,0.39452,1.74885,2.24196,0.00892,0.00131818,0.00131818,0.00131818
3,2138.6,1.56244,1.55274,0.01194,0.85614,0.49603,0.5711,0.35916,1.88769,1.79706,0.01316,0.00195847,0.00195847,0.00195847
4,2440.75,1.54542,1.46528,0.01098,0.88481,0.45724,0.55349,0.40263,1.72226,1.77376,0.00883,0.0019406,0.0019406,0.0019406
5,2743.49,1.50256,1.39885,0.01038,0.84774,0.5754,0.67683,0.4792,1.55955,1.34579,0.00765,0.0019208,0.0019208,0.0019208
6,3047.87,1.45817,1.2915,0.01018,0.82399,0.61305,0.71358,0.5131,1.5063,1.23763,0.00706,0.001901,0.001901,0.001901
